"지점","지점명","일시","평균기온..C.","강수.계속시간.hr.","평균.풍속.m.s.","평균.상대습도...","평균.현지기압.hPa.","합계.일조시간.hr.","일.최심적설.cm.","평균.전운량.1.10.","평균.지면온도..C.","안개.계속시간.hr."
108,"서울","2018-01-01",-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
108,"서울","2018-01-02",-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
108,"서울","2018-01-03",-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
108,"서울","2018-01-04",-4.7,0,1.4,43,1016.5,6.2,0,6.5,-3.3,0
108,"서울","2018-01-05",-3,0,1.7,48.4,1010.3,8.2,0,3.6,-2.6,0
108,"서울","2018-01-06",-2.8,0,1.5,45.8,1012.9,8.8,0,0,-3.1,0
108,"서울","2018-01-07",-0.8,0,0.8,42.1,1010.7,3.1,0,7.5,-2.2,0
108,"서울","2018-01-08",1.3,4.5,1.8,51.9,1000.6,0.5,1,9,0.4,0
108,"서울","2018-01-09",-4.2,5.58,2.9,59.4,1002.8,8.4,1,3.5,-1.2,0
108,"서울","2018-01-10",-7.5,2.08,3,52,1007.9,8.8,0.8,0.9,-2.9,0
108,"서울","2018-01-11",-11.1,0,2.8,49.8,1015.9,8.7,0,0.4,-5.6,0
108,"서울","2018-01-12",-10.2,2.08,1.7,35.4,1020.6,8.8,0,2.3,-6.1,0
108,"서울","2018-01-13",-4.4,7.83,0.8,67.3,1021.1,0.9,0.6,8.3,-2.8,0
108,"서울","2018-01-14",0.6,0,1.2,64.1,1017.9,5.6,0,7,-1.1,0
108,"서울","2018-01-15",4.7,1.25,1.4,63.9,1012.8,6.5,0,7.6,1.5,0
108,"서울","2018-01-16",3.5,1.25,0.7,59.1,1007.6,0.5,0,9.8,0.7,0
108,"서울","2018-01-17",4.5,0,1.2,64.1,1007.2,4.8,0,7.4,1.7,0
108,"서울","2018-01-18",2.1,0.58,1.9,59.6,1012.9,0,0,8.6,1.3,0
108,"서울","2018-01-19",1,0,1.6,43,1013.5,8.7,0,3.8,0.3,0
108,"서울","2018-01-20",2.2,0,1.6,57.6,1012,5.3,0,5.1,0.2,0
108,"서울","2018-01-21",0.4,0,1,36.6,1012.7,8.2,0,2,-0.5,0
108,"서울","2018-01-22",0.2,6,1.5,56.5,1005.2,0.7,1,9.4,-0.2,0
108,"서울","2018-01-23",-11.7,0,3.7,42,1013.4,9.1,1,0.3,-4.4,0
108,"서울","2018-01-24",-14.2,0,3.4,31.6,1018.3,8.9,0.9,0,-8.3,0
108,"서울","2018-01-25",-14,0,2.8,32.6,1019.1,8.3,0.7,3.6,-8.5,0
108,"서울","2018-01-26",-14.8,0,2.6,34.9,1018.9,0,0.5,0,-9.3,0
108,"서울","2018-01-27",-9.9,0,1.4,37.4,1017.8,9,0.3,1.8,-7.5,0
108,"서울","2018-01-28",-6.3,0,2.6,36,1011.6,7.6,0,3.3,-4.4,0
108,"서울","2018-01-29",-8.5,0,2.7,35,1013,8.9,0,0.1,-6.2,0
108,"서울","2018-01-30",-5.3,8.67,1.3,62,1014.7,5.6,3.5,5.8,-4.6,0
108,"서울","2018-01-31",-2.6,0.67,1.6,54.5,1016.6,1.8,3.5,7.4,-1.8,0
108,"서울","2018-02-01",-4,0,1.6,44.1,1018.3,9.1,1.6,0,-3.1,0
108,"서울","2018-02-02",-2.4,0,1.6,51.1,1017.5,8.8,0,1.9,-2.8,0
108,"서울","2018-02-03",-7.3,3.83,3.8,47,1017.2,9.1,0.3,1.3,-3.7,0
108,"서울","2018-02-04",-9.5,0,3.1,40.9,1017.3,9.1,0,0,-6.6,0
108,"서울","2018-02-05",-9.4,0,3,37.8,1015.1,9.3,0,0.1,-6.8,0
108,"서울","2018-02-06",-10.1,0,3.1,36.5,1014.4,9,0,1.1,-6.9,0
108,"서울","2018-02-07",-8,0,1.5,39.8,1015.4,9.2,0,1,-6.1,0
108,"서울","2018-02-08",-4.4,0,1.2,43.3,1014,9.2,0,0.3,-3.9,0
108,"서울","2018-02-09",0.4,0,1.1,43.9,1011.8,2.2,0,9.1,-1.3,0
