"자전거번호","등록일시","고장구분","등록날짜"
"SPB-00015","2018-06-24 14:05","타이어 ","2018-06-24"
"SPB-00015","2018-07-08 18:32","단말기","2018-07-08"
"SPB-00073","2018-04-04 14:45","체인","2018-04-04"
"SPB-00180","2018-05-09 23:54","타이어 ","2018-05-09"
"SPB-00192","2018-06-22 0:54","타이어 ","2018-06-22"
"SPB-00320","2018-07-12 20:46","안장","2018-07-12"
"SPB-00380","2018-04-28 15:06","체인","2018-04-28"
"SPB-00402","2018-01-28 2:31","기타 ","2018-01-28"
"SPB-00414","2018-06-24 1:44","페달","2018-06-24"
"SPB-00442","2018-08-03 23:27","체인","2018-08-03"
"SPB-00481","2018-09-11 9:29","타이어 ","2018-09-11"
"SPB-00553","2018-02-10 0:53","체인","2018-02-10"
"SPB-00553","2018-02-10 0:53","타이어 ","2018-02-10"
"SPB-00587","2018-07-16 21:37","체인","2018-07-16"
"SPB-00625","2018-07-04 4:32","기타 ","2018-07-04"
"SPB-00625","2018-07-04 4:32","체인","2018-07-04"
"SPB-00772","2018-09-27 19:37","안장","2018-09-27"
"SPB-00838","2018-08-15 4:10","단말기","2018-08-15"
"SPB-01001","2018-09-13 6:39","체인","2018-09-13"
"SPB-01001","2018-09-17 20:18","체인","2018-09-17"
"SPB-01001","2018-09-17 20:18","기타 ","2018-09-17"
"SPB-01083","2018-11-06 12:55","타이어 ","2018-11-06"
"SPB-01272","2018-07-12 13:43","타이어 ","2018-07-12"
"SPB-01272","2018-07-12 13:43","페달","2018-07-12"
"SPB-01272","2018-07-12 13:43","기타 ","2018-07-12"
"SPB-01282","2018-11-14 8:05","기타 ","2018-11-14"
"SPB-01283","2018-08-03 18:42","체인","2018-08-03"
"SPB-01283","2018-08-03 21:28","체인","2018-08-03"
"SPB-01378","2018-09-27 12:06","타이어 ","2018-09-27"
"SPB-01378","2018-09-27 12:06","안장","2018-09-27"
"SPB-01439","2018-05-31 20:59","체인","2018-05-31"
"SPB-01442","2018-05-04 8:51","체인","2018-05-04"
"SPB-01446","2018-10-09 22:52","기타 ","2018-10-09"
"SPB-01487","2018-10-03 22:52","페달","2018-10-03"
"SPB-01641","2018-07-06 17:23","체인","2018-07-06"
"SPB-01644","2018-05-31 21:26","안장","2018-05-31"
"SPB-01670","2018-07-12 20:04","체인","2018-07-12"
"SPB-01702","2018-05-27 20:24","단말기","2018-05-27"
"SPB-01702","2018-05-28 11:39","기타 ","2018-05-28"
"SPB-01702","2018-05-28 11:39","타이어 ","2018-05-28"
"SPB-01711","2018-08-09 21:52","안장","2018-08-09"
"SPB-01711","2018-08-09 21:52","단말기","2018-08-09"
"SPB-01720","2018-02-25 17:14","체인","2018-02-25"
"SPB-01811","2018-12-20 19:11","기타 ","2018-12-20"
"SPB-01869","2018-07-03 19:28","기타 ","2018-07-03"
"SPB-01899","2018-06-08 19:23","페달","2018-06-08"
"SPB-01950","2018-05-31 21:29","페달","2018-05-31"
"SPB-01950","2018-05-31 21:29","파손","2018-05-31"
"SPB-01951","2018-10-16 22:38","안장","2018-10-16"
"SPB-02028","2018-10-22 21:49","체인","2018-10-22"
"SPB-02033","2018-10-24 21:59","체인","2018-10-24"
"SPB-02033","2018-10-24 21:59","안장","2018-10-24"
"SPB-02100","2018-07-21 7:46","체인","2018-07-21"
"SPB-02100","2018-07-21 7:46","페달","2018-07-21"
"SPB-02116","2018-09-16 21:45","체인","2018-09-16"
"SPB-02135","2018-09-17 15:06","체인","2018-09-17"
"SPB-02135","2018-09-29 18:21","단말기","2018-09-29"
"SPB-02145","2018-09-06 14:01","체인","2018-09-06"
"SPB-02169","2018-04-27 22:15","단말기","2018-04-27"
"SPB-02225","2018-09-10 19:47","단말기","2018-09-10"
"SPB-02230","2018-07-24 22:02","체인","2018-07-24"
"SPB-02248","2018-08-21 22:30","기타 ","2018-08-21"
"SPB-02248","2018-08-21 22:30","체인","2018-08-21"
"SPB-02282","2018-10-03 4:33","기타 ","2018-10-03"
"SPB-02282","2018-10-03 4:33","안장","2018-10-03"
"SPB-02282","2018-10-03 4:33","체인","2018-10-03"
"SPB-02289","2018-09-09 21:43","체인","2018-09-09"
"SPB-02300","2018-08-14 23:32","타이어 ","2018-08-14"
"SPB-02317","2018-10-10 18:18","체인","2018-10-10"
"SPB-02387","2018-05-25 14:36","파손","2018-05-25"
"SPB-02387","2018-05-25 18:52","체인","2018-05-25"
"SPB-02387","2018-05-25 14:36","체인","2018-05-25"
"SPB-02402","2018-03-14 21:50","체인","2018-03-14"
"SPB-02444","2018-10-23 23:35","페달","2018-10-23"
"SPB-02458","2018-07-17 2:13","타이어 ","2018-07-17"
