"대여날짜","하루이용횟수"
"2018-01-01",119
"2018-01-02",146
"2018-01-03",139
"2018-01-04",134
"2018-01-05",127
"2018-01-06",152
"2018-01-07",162
"2018-01-08",110
"2018-01-09",90
"2018-01-10",88
"2018-01-11",71
"2018-01-12",72
"2018-01-13",102
"2018-01-14",121
"2018-01-15",157
"2018-01-16",151
"2018-01-17",149
"2018-01-18",167
"2018-01-19",161
"2018-01-20",151
"2018-01-21",206
"2018-01-22",75
"2018-01-23",54
"2018-01-24",44
"2018-01-25",40
"2018-01-26",39
"2018-01-27",71
"2018-01-28",72
"2018-01-29",69
"2018-01-30",47
"2018-01-31",55
"2018-02-01",85
"2018-02-02",110
"2018-02-03",80
"2018-02-04",73
"2018-02-05",65
"2018-02-06",64
"2018-02-07",71
"2018-02-08",96
"2018-02-09",115
"2018-02-10",122
"2018-02-11",79
"2018-02-12",89
"2018-02-13",148
"2018-02-14",164
"2018-02-15",112
"2018-02-16",98
"2018-02-17",106
"2018-02-18",154
"2018-02-19",188
"2018-02-20",189
"2018-02-21",209
"2018-02-22",191
"2018-02-23",134
"2018-02-24",206
"2018-02-25",246
"2018-02-26",246
"2018-02-27",219
"2018-02-28",91
"2018-03-01",158
"2018-03-02",224
"2018-03-03",445
"2018-03-04",157
"2018-03-05",296
"2018-03-06",412
"2018-03-07",363
"2018-03-08",282
"2018-03-09",399
"2018-03-10",384
"2018-03-11",501
"2018-03-12",434
"2018-03-13",543
"2018-03-14",702
"2018-03-15",265
"2018-03-16",543
"2018-03-17",599
"2018-03-18",399
"2018-03-19",255
"2018-03-20",398
"2018-03-21",262
"2018-03-22",484
"2018-03-23",527
"2018-03-24",471
"2018-03-25",489
"2018-03-26",506
"2018-03-27",555
"2018-03-28",697
"2018-03-29",753
"2018-03-30",757
"2018-03-31",829
"2018-04-01",951
"2018-04-02",1013
"2018-04-03",950
"2018-04-04",936
"2018-04-05",114
"2018-04-06",415
"2018-04-07",460
"2018-04-08",283
"2018-04-09",833
"2018-04-10",623
"2018-04-11",975
"2018-04-12",996
"2018-04-13",1031
"2018-04-14",397
"2018-04-15",602
"2018-04-16",1124
"2018-04-17",1069
"2018-04-18",948
"2018-04-19",884
"2018-04-20",1148
"2018-04-21",1195
"2018-04-22",366
"2018-04-23",45
"2018-04-24",912
"2018-04-25",1247
"2018-04-26",1197
"2018-04-27",1235
"2018-04-28",1319
"2018-04-29",1246
"2018-04-30",1352
"2018-05-01",1471
"2018-05-02",290
"2018-05-03",1065
"2018-05-04",1314
"2018-05-05",1349
"2018-05-06",800
"2018-05-07",1439
"2018-05-08",1311
"2018-05-09",1500
"2018-05-10",1440
"2018-05-11",1411
"2018-05-12",210
"2018-05-13",1463
"2018-05-14",1449
"2018-05-15",1584
"2018-05-16",210
"2018-05-17",108
"2018-05-18",853
"2018-05-19",1640
"2018-05-20",1606
"2018-05-21",1690
"2018-05-22",732
"2018-05-23",1534
"2018-05-24",1620
"2018-05-25",1636
"2018-05-26",1679
"2018-05-27",1847
"2018-05-28",1638
"2018-05-29",1302
"2018-05-30",1685
"2018-05-31",1771
"2018-06-01",1629
"2018-06-02",1701
"2018-06-03",1780
"2018-06-04",1824
"2018-06-05",1835
"2018-06-06",1728
"2018-06-07",1784
"2018-06-08",1861
"2018-06-09",1461
"2018-06-10",1773
"2018-06-11",1403
"2018-06-12",1778
"2018-06-13",326
"2018-06-14",1130
"2018-06-15",1762
"2018-06-16",1928
"2018-06-17",1974
"2018-06-18",1484
"2018-06-19",1907
"2018-06-20",1942
"2018-06-21",2098
"2018-06-22",1954
"2018-06-23",1978
"2018-06-24",1772
"2018-06-25",1843
"2018-06-26",333
"2018-06-27",1668
"2018-06-28",1141
"2018-06-29",1627
"2018-06-30",1042
