대여날짜,하루이용횟수
2018-07-01,222
2018-07-02,165
2018-07-03,1629
2018-07-04,1866
2018-07-05,1672
2018-07-06,2028
2018-07-07,2026
2018-07-08,2199
2018-07-09,342
2018-07-10,954
2018-07-11,1303
2018-07-12,1806
2018-07-13,1875
2018-07-14,1788
2018-07-15,1600
2018-07-16,1641
2018-07-17,1818
2018-07-18,1851
2018-07-19,1844
2018-07-20,1698
2018-07-21,1569
2018-07-22,1398
2018-07-23,1622
2018-07-24,1641
2018-07-25,1667
2018-07-26,1648
2018-07-27,1452
2018-07-28,1305
2018-07-29,1411
2018-07-30,1676
2018-07-31,1503
2018-08-01,1326
2018-08-02,1287
2018-08-03,1392
2018-08-04,1325
2018-08-05,1234
2018-08-06,1408
2018-08-07,1618
2018-08-08,1614
2018-08-09,1516
2018-08-10,1563
2018-08-11,1464
2018-08-12,1177
2018-08-13,1484
2018-08-14,1545
2018-08-15,1378
2018-08-16,1797
2018-08-17,1993
2018-08-18,2046
2018-08-19,1925
2018-08-20,1881
2018-08-21,1748
2018-08-22,1812
2018-08-23,1008
2018-08-24,604
2018-08-25,2069
2018-08-26,1859
2018-08-27,1039
2018-08-28,645
2018-08-29,340
2018-08-30,1429
2018-08-31,2017
2018-09-01,1916
2018-09-02,2186
2018-09-03,703
2018-09-04,2166
2018-09-05,2442
2018-09-06,2110
2018-09-07,2295
2018-09-08,2517
2018-09-09,2582
2018-09-10,2394
2018-09-11,2560
2018-09-12,2607
2018-09-13,2590
2018-09-14,2261
2018-09-15,2111
2018-09-16,1240
2018-09-17,2489
2018-09-18,2625
2018-09-19,2108
2018-09-20,1173
2018-09-21,1606
2018-09-22,2393
2018-09-23,1931
2018-09-24,1768
2018-09-25,2237
2018-09-26,2508
2018-09-27,2604
2018-09-28,2599
2018-09-29,2824
2018-09-30,2532
2018-10-01,2514
2018-10-02,2532
2018-10-03,2632
2018-10-04,2742
2018-10-05,424
2018-10-06,1313
2018-10-07,2673
2018-10-08,2480
2018-10-09,2592
2018-10-10,2052
2018-10-11,2008
2018-10-12,2161
2018-10-13,2175
2018-10-14,2195
2018-10-15,2235
2018-10-16,2357
2018-10-17,2287
2018-10-18,2284
2018-10-19,2338
2018-10-20,2251
2018-10-21,2372
2018-10-22,2255
2018-10-23,1827
2018-10-24,2271
2018-10-25,2415
2018-10-26,1031
2018-10-27,1527
2018-10-28,769
2018-10-29,1558
2018-10-30,1628
2018-10-31,1773
2018-11-01,1912
2018-11-02,2003
2018-11-03,1817
2018-11-04,1884
2018-11-05,2004
2018-11-06,2011
2018-11-07,1411
2018-11-08,139
2018-11-09,1475
2018-11-10,1743
2018-11-11,1227
2018-11-12,1785
2018-11-13,1830
2018-11-14,1984
2018-11-15,1849
2018-11-16,1674
2018-11-17,1412
2018-11-18,1403
2018-11-19,1550
2018-11-20,1671
2018-11-21,1391
2018-11-22,1318
2018-11-23,1272
2018-11-24,457
2018-11-25,951
2018-11-26,1383
2018-11-27,1351
2018-11-28,1361
2018-11-29,1328
2018-11-30,1272
2018-12-01,1279
2018-12-02,1207
2018-12-03,479
2018-12-04,1044
2018-12-05,1065
2018-12-06,1141
2018-12-07,671
2018-12-08,505
2018-12-09,507
2018-12-10,814
2018-12-11,948
2018-12-12,866
2018-12-13,502
2018-12-14,651
2018-12-15,678
2018-12-16,535
2018-12-17,750
2018-12-18,872
2018-12-19,992
2018-12-20,996
2018-12-21,970
2018-12-22,913
2018-12-23,766
2018-12-24,759
2018-12-25,585
2018-12-26,750
2018-12-27,521
2018-12-28,452
2018-12-29,399
2018-12-30,423
2018-12-31,578
