대여날짜,하루이용횟수
2019-01-01,439
2019-01-02,603
2019-01-03,689
2019-01-04,687
2019-01-05,645
2019-01-06,586
2019-01-07,702
2019-01-08,640
2019-01-09,664
2019-01-10,816
2019-01-11,810
2019-01-12,695
2019-01-13,632
2019-01-14,594
2019-01-15,629
2019-01-16,681
2019-01-17,790
2019-01-18,825
2019-01-19,721
2019-01-20,645
2019-01-21,661
2019-01-22,822
2019-01-23,840
2019-01-24,873
2019-01-25,798
2019-01-26,669
2019-01-27,639
2019-01-28,725
2019-01-29,794
2019-01-30,918
2019-01-31,813
2019-02-01,799
2019-02-02,749
2019-02-03,137
2019-02-04,477
2019-02-05,467
2019-02-06,736
2019-02-07,700
2019-02-08,658
2019-02-09,688
2019-02-10,553
2019-02-11,690
2019-02-12,815
2019-02-13,858
2019-02-14,905
2019-02-15,429
2019-02-16,706
2019-02-17,713
2019-02-18,885
2019-02-19,599
2019-02-20,958
2019-02-21,944
2019-02-22,994
2019-02-23,1129
2019-02-24,1045
2019-02-25,1055
2019-02-26,1237
2019-02-27,1300
2019-02-28,1252
2019-03-01,1011
2019-03-02,1100
2019-03-03,1190
2019-03-04,1285
2019-03-05,1107
2019-03-06,1179
2019-03-07,1523
2019-03-08,1478
2019-03-09,1491
2019-03-10,1499
2019-03-11,1323
2019-03-12,1179
2019-03-13,1329
2019-03-14,1398
2019-03-15,962
2019-03-16,1243
2019-03-17,1693
2019-03-18,1670
2019-03-19,1871
2019-03-20,741
2019-03-21,1178
2019-03-22,1495
2019-03-23,1090
2019-03-24,1555
2019-03-25,1568
2019-03-26,1975
2019-03-27,1729
2019-03-28,1864
2019-03-29,2029
2019-03-30,654
2019-03-31,1192
2019-04-01,1785
2019-04-02,1887
2019-04-03,1910
2019-04-04,1983
2019-04-05,2055
2019-04-06,1232
2019-04-07,2359
2019-04-08,2303
2019-04-09,937
2019-04-10,1085
2019-04-11,2285
2019-04-12,2415
2019-04-13,2494
2019-04-14,1543
2019-04-15,2522
2019-04-16,2744
2019-04-17,2899
2019-04-18,2315
2019-04-19,2839
2019-04-20,2553
2019-04-21,2776
2019-04-22,2980
2019-04-23,1352
2019-05-01,3785
2019-05-02,3601
2019-05-03,3613
2019-05-04,3191
2019-05-05,3151
2019-05-06,3660
2019-05-07,3522
2019-05-08,3678
2019-05-09,3561
2019-05-10,3751
2019-05-11,3842
2019-05-12,3701
2019-05-13,3537
2019-05-14,3931
2019-05-15,2126
2019-06-01,4027
2019-06-02,3954
2019-06-03,4117
2019-06-04,4471
2019-06-05,4356
2019-06-06,2111
2019-06-07,2754
2019-06-08,4177
2019-06-09,3142
2019-06-10,3293
2019-06-11,4421
2019-06-12,4392
2019-06-13,4268
2019-06-14,4250
2019-06-15,3685
2019-06-16,4042
2019-06-17,4317
2019-06-18,1483
2019-06-19,3812
2019-06-20,4150
2019-06-21,3609
2019-06-22,4171
2019-06-23,4186
2019-06-24,4235
2019-06-25,4257
2019-06-26,3999
2019-06-27,3747
2019-06-28,3793
2019-06-29,3384
2019-06-30,3672
