"자전거번호","등록일시","고장구분","등록날짜","자전거","년도","일자"
"SPB-00015","2018-06-24 14:05","타이어 ","2018-06-24",15,2018,175
"SPB-00015","2018-07-08 18:32","단말기","2018-07-08",15,2018,189
"SPB-00625","2018-07-04 4:32","기타 ","2018-07-04",625,2018,185
"SPB-01001","2018-09-13 6:39","체인","2018-09-13",1001,2018,256
"SPB-01001","2018-09-17 20:18","체인","2018-09-17",1001,2018,260
"SPB-01083","2018-11-06 12:55","타이어 ","2018-11-06",1083,2018,310
"SPB-01272","2018-07-12 13:43","타이어 ","2018-07-12",1272,2018,193
"SPB-01702","2018-05-27 20:24","단말기","2018-05-27",1702,2018,147
"SPB-01702","2018-05-28 11:39","기타 ","2018-05-28",1702,2018,148
"SPB-01811","2018-12-20 19:11","기타 ","2018-12-20",1811,2018,354
"SPB-02135","2018-09-17 15:06","체인","2018-09-17",2135,2018,260
"SPB-02135","2018-09-29 18:21","단말기","2018-09-29",2135,2018,272
"SPB-02169","2018-04-27 22:15","단말기","2018-04-27",2169,2018,117
"SPB-02317","2018-10-10 18:18","체인","2018-10-10",2317,2018,283
"SPB-02387","2018-05-25 14:36","파손","2018-05-25",2387,2018,145
"SPB-02460","2018-06-05 18:56","페달","2018-06-05",2460,2018,156
"SPB-02460","2018-06-15 12:15","체인","2018-06-15",2460,2018,166
"SPB-02496","2018-04-29 7:50","안장","2018-04-29",2496,2018,119
"SPB-02576","2018-10-12 18:26","안장","2018-10-12",2576,2018,285
"SPB-02576","2018-10-19 18:01","기타 ","2018-10-19",2576,2018,292
"SPB-02591","2018-06-04 8:43","체인","2018-06-04",2591,2018,155
"SPB-02741","2018-09-17 21:26","기타 ","2018-09-17",2741,2018,260
"SPB-02741","2018-09-19 7:58","페달","2018-09-19",2741,2018,262
"SPB-02824","2018-03-30 13:19","타이어 ","2018-03-30",2824,2018,89
"SPB-02824","2018-07-17 15:41","기타 ","2018-07-17",2824,2018,198
"SPB-02959","2018-03-02 11:35","타이어 ","2018-03-02",2959,2018,61
"SPB-02959","2018-05-27 21:33","안장","2018-05-27",2959,2018,147
"SPB-03132","2018-06-16 22:22","타이어 ","2018-06-16",3132,2018,167
"SPB-03132","2018-06-28 7:23","안장","2018-06-28",3132,2018,179
"SPB-03294","2018-12-11 23:04","페달","2018-12-11",3294,2018,345
"SPB-03591","2018-07-08 7:03","기타 ","2018-07-08",3591,2018,189
"SPB-03591","2018-07-24 1:28","기타 ","2018-07-24",3591,2018,205
"SPB-03754","2018-08-06 16:48","기타 ","2018-08-06",3754,2018,218
"SPB-03817","2018-10-18 20:58","체인","2018-10-18",3817,2018,291
"SPB-03817","2018-10-22 7:36","체인","2018-10-22",3817,2018,295
"SPB-03921","2018-05-20 3:04","안장","2018-05-20",3921,2018,140
"SPB-03949","2018-06-23 1:48","체인","2018-06-23",3949,2018,174
"SPB-03949","2018-09-22 23:57","체인","2018-09-22",3949,2018,265
"SPB-03953","2018-11-22 6:13","안장","2018-11-22",3953,2018,326
"SPB-03953","2018-12-12 11:27","기타 ","2018-12-12",3953,2018,346
"SPB-04052","2018-05-27 23:09","안장","2018-05-27",4052,2018,147
