"자전거번호","등록일시","고장구분","등록날짜","자전거"
"SPB-00004","2019-05-12 20:27","페달","2019-05-12",4
"SPB-00004","2019-05-13 3:20","단말기","2019-05-13",4
"SPB-00014","2019-07-23 19:05","페달","2019-07-23",14
"SPB-00014","2019-08-21 12:41","안장","2019-08-21",14
"SPB-00014","2019-08-29 1:44","단말기","2019-08-29",14
"SPB-00015","2018-06-24 14:05","타이어 ","2018-06-24",15
"SPB-00015","2018-07-08 18:32","단말기","2018-07-08",15
"SPB-00015","2019-07-14 18:17","단말기","2019-07-14",15
"SPB-00028","2019-07-16 14:08","페달","2019-07-16",28
"SPB-00028","2019-09-27 23:40","타이어 ","2019-09-27",28
"SPB-00028","2019-11-01 8:05","체인","2019-11-01",28
"SPB-00463","2019-09-11 16:42","페달","2019-09-11",463
"SPB-00463","2019-10-25 2:13","단말기","2019-10-25",463
"SPB-00465","2019-07-22 10:58","타이어 ","2019-07-22",465
"SPB-00465","2019-07-24 17:41","안장","2019-07-24",465
"SPB-00625","2018-07-04 4:32","기타 ","2018-07-04",625
"SPB-00625","2019-09-17 18:13","안장","2019-09-17",625
"SPB-00887","2019-09-23 5:53","타이어 ","2019-09-23",887
"SPB-00887","2019-10-01 19:02","타이어 ","2019-10-01",887
"SPB-01001","2018-09-13 6:39","체인","2018-09-13",1001
"SPB-01001","2018-09-17 20:18","체인","2018-09-17",1001
"SPB-01083","2018-11-06 12:55","타이어 ","2018-11-06",1083
"SPB-01083","2019-03-29 10:05","안장","2019-03-29",1083
"SPB-01083","2019-04-17 13:29","안장","2019-04-17",1083
"SPB-01114","2019-06-04 23:06","페달","2019-06-04",1114
"SPB-01114","2019-11-13 12:09","안장","2019-11-13",1114
"SPB-01160","2019-11-16 3:15","안장","2019-11-16",1160
"SPB-01160","2019-11-19 22:41","단말기","2019-11-19",1160
"SPB-01272","2018-07-12 13:43","타이어 ","2018-07-12",1272
"SPB-01272","2019-09-20 9:36","페달","2019-09-20",1272
"SPB-01522","2019-06-04 19:52","기타 ","2019-06-04",1522
"SPB-01522","2019-08-28 22:53","안장","2019-08-28",1522
"SPB-01522","2019-08-29 18:32","체인","2019-08-29",1522
"SPB-01522","2019-08-31 16:28","페달","2019-08-31",1522
"SPB-01597","2019-03-08 16:24","페달","2019-03-08",1597
"SPB-01597","2019-03-10 13:17","페달","2019-03-10",1597
"SPB-01680","2019-06-04 18:00","타이어 ","2019-06-04",1680
"SPB-01680","2019-10-28 19:25","체인","2019-10-28",1680
"SPB-01702","2018-05-27 20:24","단말기","2018-05-27",1702
"SPB-01702","2018-05-28 11:39","기타 ","2018-05-28",1702
"SPB-01811","2018-12-20 19:11","기타 ","2018-12-20",1811
"SPB-01811","2019-02-14 9:39","타이어 ","2019-02-14",1811
"SPB-01889","2019-09-24 13:23","안장","2019-09-24",1889
"SPB-01889","2019-09-27 17:44","체인","2019-09-27",1889
"SPB-02104","2019-07-06 0:52","타이어 ","2019-07-06",2104
"SPB-02104","2019-09-26 8:07","안장","2019-09-26",2104
"SPB-02135","2018-09-17 15:06","체인","2018-09-17",2135
"SPB-02135","2018-09-29 18:21","단말기","2018-09-29",2135
"SPB-02150","2019-05-14 20:01","단말기","2019-05-14",2150
"SPB-02150","2019-06-23 23:09","페달","2019-06-23",2150
"SPB-02169","2018-04-27 22:15","단말기","2018-04-27",2169
"SPB-02169","2019-10-22 8:52","체인","2019-10-22",2169
"SPB-02243","2019-05-03 9:39","단말기","2019-05-03",2243
"SPB-02243","2019-12-08 14:18","체인","2019-12-08",2243
"SPB-02317","2018-10-10 18:18","체인","2018-10-10",2317
"SPB-02317","2019-05-13 8:43","기타 ","2019-05-13",2317
"SPB-02329","2019-08-18 20:21","타이어 ","2019-08-18",2329
"SPB-02329","2019-08-26 19:10","기타 ","2019-08-26",2329
"SPB-02344","2019-06-27 8:34","단말기","2019-06-27",2344
"SPB-02344","2019-08-01 18:15","단말기","2019-08-01",2344
"SPB-02387","2018-05-25 14:36","파손","2018-05-25",2387
"SPB-02387","2019-06-17 17:13","안장","2019-06-17",2387
"SPB-02426","2019-11-22 18:20","단말기","2019-11-22",2426
"SPB-02426","2019-12-16 17:53","체인","2019-12-16",2426
"SPB-02460","2018-06-05 18:56","페달","2018-06-05",2460
"SPB-02460","2018-06-15 12:15","체인","2018-06-15",2460
"SPB-02496","2018-04-29 7:50","안장","2018-04-29",2496
"SPB-02496","2019-09-30 19:19","체인","2019-09-30",2496
"SPB-02497","2019-06-24 20:53","체인","2019-06-24",2497
"SPB-02497","2019-06-25 12:26","타이어 ","2019-06-25",2497
"SPB-02497","2019-07-03 21:26","안장","2019-07-03",2497
"SPB-02497","2019-07-14 13:11","체인","2019-07-14",2497
"SPB-02576","2018-10-12 18:26","안장","2018-10-12",2576
"SPB-02576","2018-10-19 18:01","기타 ","2018-10-19",2576
"SPB-02591","2018-06-04 8:43","체인","2018-06-04",2591
"SPB-02591","2019-10-29 7:58","안장","2019-10-29",2591
"SPB-02644","2019-07-06 17:25","안장","2019-07-06",2644
"SPB-02644","2019-07-07 16:35","기타 ","2019-07-07",2644
"SPB-02677","2019-10-28 9:40","타이어 ","2019-10-28",2677
"SPB-02677","2019-10-31 18:25","타이어 ","2019-10-31",2677
"SPB-02741","2018-09-17 21:26","기타 ","2018-09-17",2741
"SPB-02741","2018-09-19 7:58","페달","2018-09-19",2741
"SPB-02772","2019-09-28 18:41","타이어 ","2019-09-28",2772
"SPB-02772","2019-10-18 23:14","안장","2019-10-18",2772
"SPB-02824","2018-03-30 13:19","타이어 ","2018-03-30",2824
"SPB-02824","2018-07-17 15:41","기타 ","2018-07-17",2824
"SPB-02881","2019-04-17 17:58","체인","2019-04-17",2881
"SPB-02881","2019-04-22 8:48","페달","2019-04-22",2881
"SPB-02959","2018-03-02 11:35","타이어 ","2018-03-02",2959
"SPB-02959","2018-05-27 21:33","안장","2018-05-27",2959
"SPB-02988","2019-06-14 18:44","기타 ","2019-06-14",2988
"SPB-02988","2019-07-29 1:40","단말기","2019-07-29",2988
"SPB-02988","2019-08-20 12:26","안장","2019-08-20",2988
"SPB-03055","2019-01-22 2:27","단말기","2019-01-22",3055
"SPB-03055","2019-03-18 0:48","타이어 ","2019-03-18",3055
"SPB-03132","2018-06-16 22:22","타이어 ","2018-06-16",3132
"SPB-03132","2018-06-28 7:23","안장","2018-06-28",3132
"SPB-03288","2019-05-07 16:32","타이어 ","2019-05-07",3288
"SPB-03288","2019-05-08 19:24","타이어 ","2019-05-08",3288
"SPB-03294","2018-12-11 23:04","페달","2018-12-11",3294
"SPB-03294","2019-10-18 19:39","타이어 ","2019-10-18",3294
"SPB-03417","2019-10-21 21:13","타이어 ","2019-10-21",3417
"SPB-03417","2019-10-31 11:27","단말기","2019-10-31",3417
"SPB-03591","2018-07-08 7:03","기타 ","2018-07-08",3591
"SPB-03591","2018-07-24 1:28","기타 ","2018-07-24",3591
"SPB-03679","2019-06-19 17:29","기타 ","2019-06-19",3679
"SPB-03679","2019-07-05 8:49","기타 ","2019-07-05",3679
"SPB-03713","2019-07-17 22:58","안장","2019-07-17",3713
"SPB-03713","2019-10-31 11:07","단말기","2019-10-31",3713
"SPB-03754","2018-08-06 16:48","기타 ","2018-08-06",3754
"SPB-03754","2019-06-04 2:48","타이어 ","2019-06-04",3754
"SPB-03789","2019-06-10 18:20","페달","2019-06-10",3789
"SPB-03789","2019-06-15 22:21","페달","2019-06-15",3789
"SPB-03797","2019-05-11 22:58","단말기","2019-05-11",3797
"SPB-03797","2019-05-14 14:27","체인","2019-05-14",3797
"SPB-03816","2019-07-17 8:54","타이어 ","2019-07-17",3816
"SPB-03816","2019-10-26 12:55","기타 ","2019-10-26",3816
"SPB-03817","2018-10-18 20:58","체인","2018-10-18",3817
"SPB-03817","2018-10-22 7:36","체인","2018-10-22",3817
"SPB-03895","2019-09-17 20:56","안장","2019-09-17",3895
"SPB-03895","2019-10-10 0:29","타이어 ","2019-10-10",3895
"SPB-03921","2018-05-20 3:04","안장","2018-05-20",3921
"SPB-03921","2019-04-13 21:35","기타 ","2019-04-13",3921
"SPB-03921","2019-08-06 14:12","기타 ","2019-08-06",3921
"SPB-03949","2018-06-23 1:48","체인","2018-06-23",3949
"SPB-03949","2018-09-22 23:57","체인","2018-09-22",3949
"SPB-03953","2018-11-22 6:13","안장","2018-11-22",3953
"SPB-03953","2018-12-12 11:27","기타 ","2018-12-12",3953
"SPB-03959","2019-06-25 7:57","체인","2019-06-25",3959
"SPB-03959","2019-08-22 7:14","타이어 ","2019-08-22",3959
"SPB-03959","2019-08-24 0:50","타이어 ","2019-08-24",3959
"SPB-04052","2018-05-27 23:09","안장","2018-05-27",4052
"SPB-04052","2019-11-01 13:00","단말기","2019-11-01",4052
"SPB-04057","2018-09-08 20:32","체인","2018-09-08",4057
"SPB-04057","2019-10-04 21:26","페달","2019-10-04",4057
"SPB-04057","2019-10-05 14:11","기타 ","2019-10-05",4057
